actor,character,quote,position
Leonard Nimoy,Spock,live long and prosper,
William Shatner,,,captain
James Doohan,Montgomery Scott,,Chief Engineer
Nichelle Nicols,Uhura,,Lieutenant
George Takei,Hikaru Sulu,,Lieutenant
Grace Lee Whitney,Janice Rand,,Yeuman
Robert Justman,,,Associate Producer
Barbara Anderson,Lenore Karidian,the conscience of the king,
Dave Bailey,Anthony Call,the corbomite maneuver,Lieutenant
Lazarus,Robert Brown,the alternative factor,
Lee Kelso,Paul Carr,where no man has gone before,Lieutenant
Miri,Kim Darby,miri,
Ben Childress,Gene Dynarski,mudd's women,
Balok,Clint Howard,the corbomite maneuver,
Kevin Riley,Bruce Hyde,the conscience of the king,Lieutenant
